description,query
"Identify URL filtering logs from the Palo Alto firewall for tenant M0001 where a target domain exists, excluding events where the target domain is onlyfans.com.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND trgdomain:* AND evt:""URL filtering log"" AND trgdomain:* AND NOT trgdomain:onlyfans.com"
"It searches for DoS or Behavioral-DoS events from the Radware DefensePro Anti-DDoS Protection module for tenant D0034, excluding any events with source IP 0.0.0.0.","tenantname:D0034 AND pname:""Radware DefensePro Anti\\-DDoS Protection"" AND (evt:DoS OR evt:Behavioral-DoS ) AND NOT srcip:0.0.0.0"
It looks for security events in tenant D0034 where the Sangfor_CyberCommand process is involved and the source IP is 101.42.13.27.,"tenantname:D0034 AND pname:""Sangfor_CyberCommand"" AND srcip: 101.42.13.27"
Filters logs to show entries involving the host at IP address 192.168.42.75 by matching that IP in the relevant field.,couname:192.168.42.75
"Identify URL filtering events from the Palo Alto Next-Generation Firewall for tenant M0001 where a target domain is recorded, excluding events targeting onlyfans.com or backblazeb2.com.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND trgdomain:* AND evt:""URL filtering log"" AND trgdomain:* AND NOT trgdomain:onlyfans.com AND NOT trgdomain:backblazeb2.com"
"It looks for logs from the Palo Alto Next-Generation Firewall in tenant M0001, but excludes session events and traffic to a list of domains (mostly adult sites, cloud/storage, exchanges, and other common destinations) to surface other firewall activity.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:backblaze.com AND NOT trgdomain:xhamster.com AND NOT trgdomain:xxx.com AND NOT trgdomain:x.js AND NOT trgdomain:live.com AND NOT trgdomain:xnxx.com AND NOT trgdomain:bcgame.li AND NOT trgdomain:google.com  AND NOT trgdomain:bithumb.com AND NOT trgdomain:binance.com AND NOT trgdomain:men.com AND NOT trgdomain:cock.com AND NOT trgdomain:chaturbate.com"
It filters for events processed by the MAGI parser that originate from the IP address 5.181.190.248.,parsertype:MAGI AND srcip:5.181.190.248
"Find high-severity (level 4) events for tenant D0034 from any source country, but exclude a long list of common or benign event types to surface unusual or potentially malicious activity not covered by those categories.","tenantname:D0034 AND sev:4 AND srccountry:* AND (NOT evt:""Possible CSRF attack detected in POST"") AND (NOT evt:""Pattern Violation Detected"") AND (NOT evt:ErtFeed) AND (NOT evt:""Cookie validation error"") AND (NOT evt:""Access denied due to malicious request"") AND (NOT evt:""Undefined Security Policy"") AND (NOT evt:""Unauthorized HTTP Method"") AND (NOT evt:""Parameter Validation Failure"") AND (NOT evt:""Application path request not allowed"") AND (NOT evt:Anomaly) AND (NOT evt:Intrusions) AND (NOT evt:""HTTP request not RFC\\-compliant"") AND (NOT evt:""HTTP reply exceeds maximal size"") AND (NOT evt:""Block UPnP Discovery from external computers"") AND (NOT evt:""Allow all applications"") AND (NOT evt:Intrusions) AND (NOT evt:""HTTP request not RFC\\-compliant"") AND (NOT evt:""HTTP reply exceeds maximal size"") AND (NOT evt:""Block UPnP Discovery from external computers"") AND (NOT evt:""Allow all applications"")"
"It searches for logs for tenant D0034 that are flagged as general SQL injection attacks, from any source country, and that contain the term sql.","tenantname:D0034 AND ""sql"" AND srccountry:* AND evt:通用SQL注入攻击"
"Finds logs for tenant M0001 where not all seven tax-event and tax-outbound fields are filled (i.e., at least one is missing), and excludes logs from the two specified connections at 10.1.32.231 and 10.1.32.232.",tenantname:M0001 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT couname:10.1.32.231 AND NOT couname:10.1.32.232
"It pulls logs from tenant D0034, excludes any events labeled as nfw in taxevtst, and includes only those that originate from source IP 39.98.47.180.",tenantname:D0034 AND NOT taxevtst:nfw AND srcip:39.98.47.180
"Finds logs for tenant M0001 from Palo Alto Next-Generation Firewall entries with severity 4, excluding MAGI parse types and the specific ZGrab Application Layer Scanner Detection event 57955, and only where a source username is present.","(tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall""  AND NOT parsertype:MAGI AND  sev:4) AND NOT evt:""ZGrab Application Layer Scanner Detection\\(57955\\)"" AND srcuname:*"
"Retrieves tenant D0034 events that are missing one or more of the tax event/outbound fields, and excludes traffic from the three specified IP addresses.",tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT couname:192.168.199.254 AND NOT couname:172.16.0.121 AND NOT couname:192.168.42.76
Identifies log entries from tenant M0001 that were parsed by MAGI and involve the user ohadmin.,tenantname:M0001 AND parsertype:MAGI AND trguname:ohadmin
"Looks for command records where a user issued a display command, but filters out a long list of common diagnostic/status commands to flag unusual or non-standard display commands.","evt:""Display CMD Record\\(s\\)"" AND (NOT trgattval:""display ips\\-engine information"") AND (NOT trgattval:""display ike offline\\-info"") AND (NOT trgattval:""display ike error\\-info verbose"") AND (NOT trgattval:""display engine statistics system"") AND (NOT trgattval:""display engine memory all"") AND (NOT trgattval:""display ipsec message statistics"") AND (NOT trgattval:""display interface GigabitEthernet0\\/0\\/0"") AND (NOT trgattval:""display health"") AND (NOT trgattval:""display firewall session statistics all\\-systems"") AND (NOT trgattval:""display diagnostic\\-information hf\\-log"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/5"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/4"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/3"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/2"") AND (NOT trgattval:""display interface GigabitEthernet1\\/0\\/1"") AND (NOT trgattval:""display ipsec statistics"") AND (NOT trgattval:""display firewall statistic sys normal"") AND (NOT trgattval:""display firewall statistic sys error"") AND (NOT trgattval:""display firewall statistic sys discard"") AND (NOT trgattval:""display firewall ipv6 session statistics all\\-systems"") AND (NOT trgattval:""display firewall statistics system normal"") AND (NOT trgattval:""display firewall statistics system last\\-second"") AND (NOT trgattval:""display firewall statistics system error"") AND (NOT trgattval:""display firewall statistics system discard"") AND (NOT trgattval:""display firewall ipv6 statistics system"") AND (NOT trgattval:""display memory\\-usage system\\-memory"") AND (NOT trgattval:""display ipsec statistics all\\-systems"") AND (NOT trgattval:""display ipsec history record"") AND (NOT trgattval:""display interface GigabitEthernet0\\/0\\/2"") AND (NOT trgattval:""display cpu\\-usage"")"
"Identify high-severity (5) session termination events for tenant D0034 that are caused by a DoS HTTP request attack, excluding sources from the 10.x.x.x private IP range.","tenantname:D0034 AND sev:5 AND evt:""Session Terminated due to DoS HTTP request attack"" NOT srcip:10.*.*.*"
"Returns security logs for tenant D0034 from the host 192.168.6.201, excluding entries from 192.168.199.254 or 172.16.0.121, excluding any with parse status failed, excluding the Symantec Endpoint Security Protection product, and excluding events that have all of the tax event and tax outcome fields populated.","tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT couip:192.168.199.254 AND NOT couname:172.16.0.121 AND NOT parselogstatus:""failed"" AND NOT  pname:""Symantec Endpoint Security Protection"" AND couname:192.168.6.201"
"Identify logs from tenant D0034 where the outbound tax process succeeded, originating from IP 39.144.100.99, regardless of source country.",tenantname:D0034 AND taxoutpro:success AND srccountry:* AND srcip:39.144.100.99
"Identifies Symantec Endpoint Protection events for tenant D0034 that are not the usual successful operations or routine updates, so you can surface unusual or potentially problematic security events.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND (NOT evt:""The management server received the client log successfully"") AND (NOT evt:""Block Web Services Discovery from external computers"") AND (NOT evt:""Allowed Outbound connection"") AND (NOT evt:""Allowed Inbound connection"") AND (NOT evt:""Allow all applications"") AND (NOT evt:""The client will block traffic from IP address"") AND (NOT evt:""The client has downloaded the content package successfully"") AND (NOT evt:""The client has downloaded globalindex.dax"") AND (NOT evt:""Log files written to USB drives"") AND (NOT evt:""Audit\\: P2P Torrent Traffic 5 attack blocked"") AND (NOT evt:""Symantec Endpoint Protection has determined that the virus definitions are missing on this computer"") AND (NOT evt:""Block UPnP Discovery from external computers"") AND (NOT evt:""An update for Intrusion Prevention Signatures from LiveUpdate failed to install"") AND (NOT evt:""An update for Common Network Transport Library and Configuration from LiveUpdate failed to install"") AND (NOT evt:""A LiveUpdate session encountered errors"") AND (NOT evt:""The client has reconnected with the management server"") AND (NOT evt:""The client has downloaded the policy successfully"") AND (NOT evt:""An update for WSS Traffic Redirection from LiveUpdate failed to install"") AND (NOT evt:""An update for SONAR Definitions from LiveUpdate failed to install"") AND (NOT evt:""An update for Revocation Data from LiveUpdate failed to install"") AND (NOT evt:""Web Attack\\: Webpulse Bad Reputation Domain Request attack blocked"") AND (NOT evt:""Internet Explorer Browser Intrusion Prevention disabled by policy"") AND (NOT evt:""Firefox Browser Intrusion Prevention disabled by policy"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 08\\:55\\:06"") AND (NOT evt:""Device Manager Message Disabled the device"") AND (NOT evt:""Symantec Endpoint Protection is unable to download the newest policy from the Symantec Endpoint Protection Manager"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 08\\:54\\:04"") AND (NOT evt:""Event time\\: 2025\\-06\\-03 08\\:53\\:04"") AND (NOT evt:""An update for SONAR Definitions failed to install"") AND (NOT evt:""An update for Extended File Attributes and Signatures failed to install"")"
Logs for tenant D0034 where traffic passes through a Palo Alto firewall headed to 210.87.250.48 and there is a recorded source username (indicating user-authenticated activity to that destination).,"tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND  trgtranip:210.87.250.48 AND srcuname:*"
Identifies log entries where the parser reported a failure for tenant M0001.,parserlogstatus:failed AND tenantname:M0001
"Finds logs for tenant D0034 with outbound protection enabled, aiming to surface the specific Symantec Endpoint Protection warning that virus definitions are missing on a computer, while filtering out a large set of normal session, traffic, and policy events.","tenantname:D0034 AND taxoutpro:1 AND (NOT evt:""session start"") AND (NOT evt:""session end\, Ageout"") AND (NOT evt:""Session Ended"") AND (NOT evt:Accept) AND (NOT evt:""A security session was closed"") AND (NOT evt:""URL filtering log"") AND (NOT evt:""NAT trust to untrust"") AND (NOT evt:""GET method with 200 OK"") AND (NOT evt:""Connection event logged at end of connection"") AND (NOT evt:""A security session was created"") AND (NOT evt:""session end\, TCP RST"") AND (NOT evt:""session end\, Block"") AND (NOT evt:""Traffic forward message"") AND (NOT evt:""Forward traffic statistics"") AND (NOT evt:""File type log"") AND (NOT evt:""session end\, TCP FIN"") AND (NOT evt:""Session Teardown"") AND (NOT evt:""POST method with 200 OK"") AND (NOT evt:""Allowed Outbound connection"") AND (NOT evt:""Allowed Inbound connection"") AND (NOT evt:""session end\, Close\\-ICMP"") AND (NOT evt:""Traffic local message"") AND (NOT evt:""The management server received the client log successfully"") AND (NOT evt:""GET method with 302 Found"") AND (NOT evt:""GET method with 301 Moved Permanently"") AND (NOT evt:""The client has downloaded globalindex.dax"") AND (NOT evt:""Session Started"") AND (NOT evt:""Domain is monitored"") AND (NOT evt:""DNS Query"") AND (NOT evt:""Allow all applications"") OR evt:""Symantec Endpoint Protection has determined that the virus definitions are missing on this computer"" AND (NOT evt:""The client will block traffic from IP address"") AND (NOT evt:""Symantec Endpoint Protection has determined that the virus definitions are missing on this computer"") AND (NOT evt:""Policy Permit"") AND (NOT evt:""NAT VPNHub to untrust"") AND (NOT evt:""GET method with 304 Not Modified"")"
"Finds logs where the connection originates from 192.168.42.181, belongs to tenant D0034, is destined for 210.87.250.13, and is assigned severity 4.",srcip: 192.168.42.181 AND tenantname:D0034 AND trgip:210.87.250.13 AND sev:4
It flags events for tenant D0034 where the source is China or Hong Kong and the process name is Sangfor_Cybercommand.,"tenantname:D0034 AND (srccountry:CHN OR srccountry:HKG) AND pname:""Sangfor_Cybercommand"""
"Flags events where either Palo Alto Next-Generation Firewall or Symantec Endpoint Protection is involved, the target process is a browser (Firefox or Chrome), and the destination/target IP is 208.103.161.1.","pname:""Palo Alto Next\\-Generation Firewall"" OR pname:""Symantec Endpoint Security Protection"" AND (trgdtname:firefox.exe OR trgdtname:chrome.exe) AND trgip:208.103.161.1"
"Shows security events for tenant D0034 from Radware DefensePro Anti-DDoS Protection, excluding any events with source IPs 0.0.0.0 and 89.248.163.68.","tenantname:D0034 AND pname:""Radware DefensePro Anti\\-DDoS Protection"" AND NOT srcip:0.0.0.0 AND NOT srcip:89.248.163.68"
Find events in tenant M0001 where the MAGI parser was used and the user sladmin appears as either the source user or the target user.,"tenantname:M0001 AND parsertype:MAGI AND ( srcuname:""sladmin"" OR trguname:""sladmin"""
Identify logs where a .net domain appears and the target domain is expressapisv2.net.,.net AND trgdomain:expressapisv2.net
It searches for access events in tenant D0034 where there is a non-empty blocked-source IP recorded.,tenantname:D0034 && blsrc_srcip:* AND evt:Access
Shows logs for tenant D0034 where the MAGI parser produced event code 5.,tenantname:D0034 AND parsertype:MAGI AND evt:5
"Looks for logs from tenant D0034 on Fortinet Fortigate devices with severity 4, and separately any event indicating Ivanti EPMM CVE-2023-35082 authentication bypass.","tenantname:D0034 AND pname:""Fortinet Fortigate"" AND  sev:4 OR evt:""Ivanti.EPMM.CVE\\-2023\\-35082.Authentication.Bypass"""
"Identify allowed inbound or outbound connections from 192.168.80.32 on tenant D0034, as reported by Symantec Endpoint Security Protection, where destination domain details and the related domain-blocking context are present.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND ( evt:""Allowed Outbound connection"" OR evt:""Allowed Inbound connection"" ) AND trgdomain:* AND blsrc_trgdomain:* AND srcip:192.168.80.32"
"Shows security events for tenant D0034 from the Radware AppWall Web Application Firewall, excluding traffic coming from the listed source IP addresses (including 0.0.0.0).","tenantname:D0034 AND pname:""Radware AppWall Web Application Firewall"" AND NOT srcip:0.0.0.0 AND NOT srcip:123.6.49.15 AND NOT srcip:203.160.72.59 AND NOT srcip:182.239.89.59 AND NOT srcip:123.6.49.47 AND NOT srcip:112.86.225.189"
"It retrieves all events for tenant D0034 that have a severity level of 5, regardless of the specific event type.",tenantname:D0034 AND evt:* AND sev:5
"It searches for logs from tenant D0034 originating in China, excluding a broad set of routine security and network event types to surface unusual or uncategorized events.","tenantname:D0034 AND srccountry:CHN AND (NOT evt:""Traffic local message"") AND (NOT evt:""Traffic forward message"") AND (NOT evt:""Forward traffic statistics"") AND (NOT evt:""Allowed Inbound connection"") AND (NOT evt:""A security session was closed"") AND (NOT evt:ErtFeed) AND (NOT evt:ConnectionPPS) AND (NOT evt:""Anti\\-Scanning"") AND (NOT evt:Access) AND (NOT evt:""A security session was created"") AND (NOT evt:""Undefined Security Policy"") AND (NOT evt:""Possible CSRF attack detected in POST"") AND (NOT evt:""IPsec tunnel statistics"") AND (NOT evt:""Application path request not allowed"") AND (NOT evt:Anomaly) AND (NOT evt:""Unauthorized HTTP Method"") AND (NOT evt:""Progress IPsec phase 2"") AND (NOT evt:""Pattern Violation Detected"") AND (NOT evt:Intrusions) AND (NOT evt:""HTTP reply exceeds maximal size"") AND (NOT evt:""Negotiate IPsec phase 2"") AND (NOT evt:""IPsec phase 2 SA deleted"") AND (NOT evt:""IPsec SA installed"") AND (NOT evt:""IPsec ESP"") AND (NOT evt:""Failed connection attempts "") AND (NOT evt:通用SQL注入攻击) AND (NOT evt:""Suspicious Activities from Blacklisted IP Address"") AND (NOT evt:""Progress IPsec phase 1"") AND (NOT evt:""Connection event logged at end of connection"") AND (NOT evt:Anomalies)"
"Identify outbound connections from tenant D0034 to external domains that have a target domain, with a risk score between 100 and 500, excluding bing.com and googletagmanager.com.",tenantname:D0034 AND blsrc_trgdomain:* AND blscore_trgdomain:[100 TO 500] AND NOT trgdomain:www.bing.com AND NOT trgdomain:googletagmanager.com
Looks for logs from the Radware AppWall Web Application Firewall where the taxoutpro flag is set to 1 and the event originates from IP address 83.219.250.112.,"pname:""Radware AppWall Web Application Firewall"" AND taxoutpro:1 AND srcip:83.219.250.112"
"It flags an attempted SQL injection in a request parameter, using a crafted payload with OR 1=1 and encoded characters to try to alter the backend query.","trgattval:"""
It pulls logs with a severity level of 4 for tenant D0034.,sev:4 AND tenantname:D0034
It searches for logs from tenant D0034 on Palo Alto Next-Generation Firewall where the initiating source username is tomwai (ensuring a username is present).,"tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND srcuname:* AND srcuname:tomwai"
It looks for security events from tenant D0034 that were processed by the MAGI parser and originate from the IP address 147.185.132.112.,tenantname:D0034 AND parsertype:MAGI AND srcip:147.185.132.112
"Looks for URL-filtering events from the Palo Alto firewall for tenant M0001 where a destination domain exists, while excluding requests to a specific list of domains (including adult sites and certain service domains like onlyfans.com, youporn.com, backblaze.com, backblazeb2.com, bcgame.li, and coinbase.com).","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND trgdomain:* AND evt:""URL filtering log"" AND trgdomain:* AND NOT trgdomain:onlyfans.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:youporn.com AND NOT trgdomain:bcgame.li AND NOT obssvccpn:adult  AND NOT trgdomain:backblaze.com AND NOT trgdomain:coinbase.com"
"Returns logs for tenant M0001 from Palo Alto Next-Generation Firewall with severity levels 3 or 4, excluding MAGI-parsed results, and only when a target domain is present.","(tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall""  AND NOT parsertype:MAGI AND (sev:3 OR sev:4)) AND trgdomain:*"
"Pulls URL-filtering events from the Palo Alto firewall for tenant M0001 where a target domain is present, focusing on youporn.com and excluding onlyfans.com and backblazeb2.com.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND trgdomain:* AND evt:""URL filtering log"" AND trgdomain:* AND NOT trgdomain:onlyfans.com AND NOT trgdomain:backblazeb2.com AND trgdomain:youporn.com AND NOT trgdomain:youporn.com"
Find events where the source IP is 10.168.168.29 and the destination IP is 10.168.168.20.,srcip:10.168.168.29 AND trgip:10.168.168.20
Finds logs that were processed by the MAGI parser for tenant D0034.,parsertype:MAGI AND tenantname:D0034
It searches for logs from Palo Alto's Next-Generation Firewall where the target country is any value and the event has a severity level of 4.,"pname:""Palo Alto Next-Generation Firewall"" AND trgcountry:* AND sev:4"
Finds Fortinet FortiGate logs for tenant D0034 that have severity 4 and indicate a Log4j remote code execution error.,"tenantname:D0034 AND pname:""Fortinet Fortigate"" AND sev:4 AND evt:Apache.Log4j.Error.Log.Remote.Code.Execution"
"Find outbound proxy events for tenant D0034 from Palo Alto Next-Generation Firewall where there is a source-to-target domain relationship, the target domain score is between 50 and 300, the outbound proxy succeeded, and the target domain is not google.com.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 300] AND taxoutpro:success AND NOT trgdomain:google.com"
Filters for network events where the source address is 39.98.47.180 and the other endpoint involved is 172.16.0.25.,couip:172.16.0.25 AND srcip:39.98.47.180
Finds log entries for tenant M0001 where the source username is sladmin.,tenantname:M0001 AND srcuname:sladmin
"Looks for logs from tenant D0034 where Radware DefensePro Anti-DDoS Protection successfully mitigated an attack originating from China, specifically from source IP 58.59.216.114.","tenantname:D0034 AND pname:""Radware DefensePro Anti-DDoS Protection"" AND taxoutpro:success AND srccountry:* AND srccountry:""CHN"" AND srcip:58.59.216.114"
It looks for network events where the traffic originates from 114.215.199.224 and is going to 172.16.0.1.,srcip:114.215.199.224 AND couip:172.16.0.1
Find logs from Palo Alto Next-Generation Firewall where the outbound protocol flag is set to 1 and there is a target domain specified.,"pname:""Palo Alto Next\\-Generation Firewall"" AND taxoutpro:1 AND trgdomain:*"
Identify events where the source IP is 192.168.42.153 and there is a target domain specified (any domain).,couip:192.168.42.153 AND trgdomain:*
"Finds events in tenant D0034 where Symantec Endpoint Security Protection allowed an inbound or outbound connection to a present target domain with a score between 50 and 200, excluding page.dingtalk.com.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection""  AND ( evt:""Allowed Inbound connection"" OR evt:""Allowed Outbound connection"" ) AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 200] AND NOT trgdomain:page.dingtalk.com"
It looks for events in tenant D0034 where there is a recorded source country and the process name is Sangfor_CyberCommand.,"tenantname:D0034 AND srccountry:* AND pname:""Sangfor_CyberCommand"""
It searches for events belonging to tenant M0001 that originated from the TRG host named localveeamhksvr150.,tenantname:M0001 AND trguname:localveeamhksvr150
"Identify blocked connection attempts for tenant D0034 where a source IP was blocked from reaching the target IP 52.123.129.14 (with a target domain present), excluding any events to 13.107.42.16.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection""  AND blsrc_trgip:* AND NOT trgip:13.107.42.16 AND trgip:52.123.129.14 AND trgdomain:*"
"Identify logs from tenant D0034 where the Palo Alto Next-Generation Firewall is involved and the destination domain is page.dingtalk.com, with a successful outbound operation and the related source/target domain context.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND trgdomain:* AND blsrc_trgdomain:* AND taxoutpro:success AND  trgdomain:page.dingtalk.com"
Returns logs for tenant D0034 where the event’s source IP is 40.77.167.255.,tenantname:D0034 ANDAND srcip:40.77.167.255
It returns security events for tenant D0034 that originate from Hong Kong and have a severity level of 4.,tenantname:D0034 AND srccountry:HKG AND sev:4
"Finds logs for tenant M0001 while excluding records that have the full set of tax event and tax outcome fields, and excluding entries from Microsoft Active Directory/Windows and from the hosts 10.1.32.231 and 10.1.32.232.","tenantname:M0001 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT pname:""Microsoft Active Directory and Windows"" AND NOT couname:10.1.32.231 AND NOT couname:10.1.32.232"
It looks for SQL-related events generated by the Sangfor_CyberCommand tool within tenant D0034.,"tenantname:D0034 AND pname:""Sangfor_CyberCommand"" AND evt:SQL"
